point,rep,point_tag,model,n,num_ctx,ctx_reported,pad_words,point_status,model_status,vram_gb,cpu_gb,total_gb,gpu_pct,cpu_pct,vram_total_gb,cpu_total_gb,all_on_gpu,load_sec,point_elapsed_sec,wall_time_sec,ttft_sec,ttft_thinking_sec,ttft_content_sec,tokens_per_sec,batch_tokens_per_sec,ttft_thinking_sec_min,ttft_thinking_sec_max,ttft_content_sec_min,ttft_content_sec_max,min_chars,min_chars_time_sec,min_chars_ttft_thinking_sec,min_chars_ttft_content_sec,max_chars,max_chars_time_sec,max_chars_ttft_thinking_sec,max_chars_ttft_content_sec,output_tokens,thinking_tokens,content_tokens,n_ok,n_failed,error
1,1,qwen3-n60-c16000,qwen3-235b-a22b:q4_k_m,60,16000,16000,0,ok,ok,332.6131,0.0,332.6131,100.0,0.0,332.6131,0.0,True,26.3599,114.111,84.5774,3.7842,3.7842,77.229,4.9766,214.6501,3.6927,3.8569,40.6899,113.5373,129,112.6804,3.788,111.4478,278,105.7197,3.8076,100.5925,24493,365.7,37.5167,60,0,
1,2,qwen3-n60-c16000,qwen3-235b-a22b:q4_k_m,60,16000,16000,0,ok,ok,332.6131,0.0,332.6131,100.0,0.0,332.6131,0.0,True,0.0,116.1419,86.4186,5.9896,5.9896,78.785,4.9139,205.8029,5.9334,6.1041,40.6616,114.8078,125,76.0092,6.0952,69.7604,281,91.9222,5.9586,79.6365,23901,355.7833,37.5667,60,0,
1,3,qwen3-n60-c16000,qwen3-235b-a22b:q4_k_m,60,16000,16000,0,ok,ok,332.6131,0.0,332.6131,100.0,0.0,332.6131,0.0,True,0.0,100.3558,77.2545,6.2676,6.2676,70.2236,5.2128,224.9672,6.214,6.3893,36.6602,99.9176,177,80.6625,6.2181,74.3923,285,56.639,6.3804,45.3165,22575,332.45,38.8,60,0,
2,1,qwen3-n60-c32k,qwen3-235b-a22b:q4_k_m,60,32768,32768,0,ok,ok,525.9353,0.0,525.9353,100.0,0.0,525.9353,0.0,True,30.4405,113.6865,87.0665,3.635,3.635,80.1009,5.0787,226.5672,3.5602,3.6982,38.7655,113.2182,101,110.0622,3.6982,108.8997,285,67.5997,3.6619,54.4435,25755,386.5833,37.6667,60,0,
2,2,qwen3-n60-c32k,qwen3-235b-a22b:q4_k_m,60,32768,32768,0,ok,ok,525.9353,0.0,525.9353,100.0,0.0,525.9353,0.0,True,0.0,113.2714,81.587,6.8482,6.8482,74.7356,5.2425,211.4772,6.7964,6.9615,41.2066,112.6507,153,77.3161,6.9505,70.8922,252,109.9219,6.8149,107.7551,23951,356.0167,38.1667,60,0,
2,3,qwen3-n60-c32k,qwen3-235b-a22b:q4_k_m,60,32768,32768,0,ok,ok,525.9353,0.0,525.9353,100.0,0.0,525.9353,0.0,True,0.0,106.0679,83.7015,6.5037,6.5037,76.6489,5.1022,226.0421,6.4429,6.6202,41.688,105.0186,153,74.7827,6.4763,68.2018,276,67.2439,6.4841,55.3045,23975,356.5667,38.0167,60,0,
3,1,qwen3-n60-c64k,qwen3-235b-a22b:q4_k_m,60,65536,40960,0,ctx_reduced,ctx_reduced,572.9218,141.7979,714.7197,80.2,19.8,572.9218,141.7979,False,191.9119,,,,,,,,,,,,,,,,,,,,,,,0,0,ctx_reduced: qwen3-235b-a22b:q4_k_m: loaded 40960 not 65536
3,2,qwen3-n60-c64k,qwen3-235b-a22b:q4_k_m,60,65536,40960,0,ctx_reduced,ctx_reduced,572.9218,141.7979,714.7197,80.2,19.8,572.9218,141.7979,False,191.9708,,,,,,,,,,,,,,,,,,,,,,,0,0,ctx_reduced: qwen3-235b-a22b:q4_k_m: loaded 40960 not 65536
3,3,qwen3-n60-c64k,qwen3-235b-a22b:q4_k_m,60,65536,40960,0,ctx_reduced,ctx_reduced,572.9218,141.7979,714.7197,80.2,19.8,572.9218,141.7979,False,191.5903,,,,,,,,,,,,,,,,,,,,,,,0,0,ctx_reduced: qwen3-235b-a22b:q4_k_m: loaded 40960 not 65536
